Date,Close,Ticker
2025-04-09,329.9605407714844,V
2025-04-10,322.1986389160156,V
2025-04-11,330.92333984375,V
2025-04-14,332.6901550292969,V
2025-04-15,333.3154296875,V
2025-04-16,328.86871337890625,V
2025-04-17,327.1614990234375,V
2025-04-21,317.72216796875,V
2025-04-22,328.93817138671875,V
2025-04-23,331.8861389160156,V
2025-04-24,333.2161560058594,V
2025-04-25,332.68017578125,V
2025-04-28,335.0028076171875,V
2025-04-29,338.9830017089844,V
2025-04-30,342.9334716796875,V
2025-05-01,339.9061279296875,V
2025-05-02,345.01788330078125,V
2025-05-05,346.0501403808594,V
2025-05-06,345.11712646484375,V
2025-05-07,347.25115966796875,V
2025-05-08,348.66058349609375,V
2025-05-09,349.921142578125,V
2025-05-12,353.20660400390625,V
2025-05-13,354.0815124511719,V
2025-05-14,354.3996276855469,V
2025-05-15,360.20587158203125,V
2025-05-16,363.00958251953125,V
2025-05-19,365.77349853515625,V
2025-05-20,364.7196350097656,V
2025-05-21,356.22900390625,V
2025-05-22,355.90087890625,V
2025-05-23,351.49652099609375,V
2025-05-27,357.22320556640625,V
2025-05-28,357.6507873535156,V
2025-05-29,360.3053283691406,V
2025-05-30,363.0792236328125,V
2025-06-02,363.20843505859375,V
2025-06-03,363.7452697753906,V
2025-06-04,365.8729553222656,V
2025-06-05,364.6500549316406,V
2025-06-06,368.080078125,V
2025-06-09,364.54071044921875,V
2025-06-10,368.5573425292969,V
2025-06-11,371.1522521972656,V
2025-06-12,369.2532958984375,V
2025-06-13,350.8105163574219,V
2025-06-16,353.42529296875,V
2025-06-17,355.77166748046875,V
2025-06-18,338.41259765625,V
2025-06-20,336.6130676269531,V
2025-06-23,341.76312255859375,V
2025-06-24,349.5975646972656,V
2025-06-25,343.264404296875,V
2025-06-26,344.0299377441406,V
2025-06-27,346.5950012207031,V
2025-06-30,352.9977722167969,V
2025-07-01,353.4153747558594,V
2025-07-02,352.1725769042969,V
2025-07-03,356.7857360839844,V
2025-07-07,354.57861328125,V
2025-07-08,352.50067138671875,V
2025-07-09,355.6921691894531,V
2025-07-10,353.8229675292969,V
2025-07-11,345.9189453125,V
2025-07-14,348.4740905761719,V
2025-07-15,345.0141906738281,V
2025-07-16,347.8775634765625,V
2025-07-17,347.7880859375,V
2025-07-18,347.032470703125,V
2025-07-21,348.91156005859375,V
2025-07-22,349.82623291015625,V
2025-07-23,353.2364196777344,V
2025-07-24,351.9240417480469,V
2025-07-25,354.9762878417969,V
2025-07-28,353.4153747558594,V
2025-07-29,349.259521484375,V
2025-07-30,348.8817443847656,V
2025-07-31,343.47314453125,V
2025-08-01,337.3885498046875,V
2025-08-04,340.1723327636719,V
2025-08-05,335.4796447753906,V
2025-08-06,337.77630615234375,V
2025-08-07,330.1705017089844,V
2025-08-08,334.8333740234375,V
2025-08-11,333.95849609375,V
