Date,Close,Ticker
2025-04-09,506.37933349609375,GS
2025-04-10,479.8587646484375,GS
2025-04-11,484.4046325683594,GS
2025-04-14,493.7510070800781,GS
2025-04-15,497.5816345214844,GS
2025-04-16,488.9210510253906,GS
2025-04-17,499.1491394042969,GS
2025-04-21,491.18414306640625,GS
2025-04-22,509.4360656738281,GS
2025-04-23,518.56689453125,GS
2025-04-24,534.3009033203125,GS
2025-04-25,533.80126953125,GS
2025-04-28,535.3099975585938,GS
2025-04-29,537.77880859375,GS
2025-04-30,536.4367065429688,GS
2025-05-01,542.5892333984375,GS
2025-05-02,554.6101684570312,GS
2025-05-05,548.2029418945312,GS
2025-05-06,538.2099609375,GS
2025-05-07,540.718017578125,GS
2025-05-08,554.2183227539062,GS
2025-05-09,555.5899047851562,GS
2025-05-12,579.3379516601562,GS
2025-05-13,591.5548095703125,GS
2025-05-14,599.1867065429688,GS
2025-05-15,603.3994750976562,GS
2025-05-16,606.4658813476562,GS
2025-05-19,599.8724975585938,GS
2025-05-20,594.2098388671875,GS
2025-05-21,581.4148559570312,GS
2025-05-22,586.0880737304688,GS
2025-05-23,586.3917236328125,GS
2025-05-27,603.2328491210938,GS
2025-05-28,596.0908203125,GS
2025-05-29,592.5834350585938,GS
2025-05-30,591.1951904296875,GS
2025-06-02,589.4918823242188,GS
2025-06-03,594.5231323242188,GS
2025-06-04,589.974365234375,GS
2025-06-05,596.5415649414062,GS
2025-06-06,604.536376953125,GS
2025-06-09,604.0637817382812,GS
2025-06-10,605.3929443359375,GS
2025-06-11,614.5496215820312,GS
2025-06-12,615.47509765625,GS
2025-06-13,604.0834350585938,GS
2025-06-16,618.1729125976562,GS
2025-06-17,615.0123291015625,GS
2025-06-18,625.448974609375,GS
2025-06-20,630.9232788085938,GS
2025-06-23,636.9096069335938,GS
2025-06-24,651.9048461914062,GS
2025-06-25,659.5452270507812,GS
2025-06-26,676.5687255859375,GS
2025-06-27,680.1625366210938,GS
2025-06-30,696.8414306640625,GS
2025-07-01,695.5712890625,GS
2025-07-02,704.85595703125,GS
2025-07-03,712.5258178710938,GS
2025-07-07,699.9723510742188,GS
2025-07-08,686.5327758789062,GS
2025-07-09,685.8239135742188,GS
2025-07-10,698.1902465820312,GS
2025-07-11,694.0845947265625,GS
2025-07-14,702.3058471679688,GS
2025-07-15,691.68212890625,GS
2025-07-16,697.8948974609375,GS
2025-07-17,694.9608764648438,GS
2025-07-18,697.343505859375,GS
2025-07-21,695.118408203125,GS
2025-07-22,689.614501953125,GS
2025-07-23,706.4608154296875,GS
2025-07-24,708.09521484375,GS
2025-07-25,717.744140625,GS
2025-07-28,712.496337890625,GS
2025-07-29,720.6979370117188,GS
2025-07-30,719.4868774414062,GS
2025-07-31,712.437255859375,GS
2025-08-01,698.6333618164062,GS
2025-08-04,714.8396606445312,GS
2025-08-05,709.7985229492188,GS
2025-08-06,713.5695190429688,GS
2025-08-07,708.6465454101562,GS
2025-08-08,710.1530151367188,GS
2025-08-11,708.154296875,GS
2025-08-12,731.9222412109375,GS
2025-08-13,733.2120361328125,GS
2025-08-14,735.683349609375,GS
2025-08-15,719.4573364257812,GS
2025-08-18,719.6936645507812,GS
2025-08-19,710.2613525390625,GS
2025-08-20,709.5721435546875,GS
2025-08-21,704.9150390625,GS
2025-08-22,730.4552612304688,GS
2025-08-25,727.4028930664062,GS
2025-08-26,737.4063720703125,GS
2025-08-27,738.115234375,GS
2025-08-28,739.6412963867188,GS
2025-08-29,737.6913452148438,GS
2025-09-02,723.4373779296875,GS
2025-09-03,723.1503295898438,GS
2025-09-04,741.3043212890625,GS
2025-09-05,730.7227783203125,GS
2025-09-08,734.3258056640625,GS
2025-09-09,756.1719970703125,GS
2025-09-10,761.7745971679688,GS
2025-09-11,776.7709350585938,GS
2025-09-12,772.1483154296875,GS
2025-09-15,778.7803344726562,GS
2025-09-16,777.5628051757812,GS
2025-09-17,786.1646728515625,GS
2025-09-18,796.15234375,GS
2025-09-19,796.8353271484375,GS
2025-09-22,797.3896484375,GS
2025-09-23,798.1419677734375,GS
2025-09-24,784.3928833007812,GS
2025-09-25,786.69921875,GS
2025-09-26,794.37060546875,GS
2025-09-29,795.9642944335938,GS
2025-09-30,788.2730102539062,GS
2025-10-01,777.5430297851562,GS
2025-10-02,771.4752197265625,GS
2025-10-03,781.9677124023438,GS
2025-10-06,788.69873046875,GS
2025-10-07,781.6410522460938,GS
2025-10-08,768.6343383789062,GS
2025-10-09,772.04931640625,GS
2025-10-10,756.6074829101562,GS
2025-10-13,778.8001708984375,GS
2025-10-14,762.942626953125,GS
2025-10-15,760.1412963867188,GS
2025-10-16,750.401123046875,GS
2025-10-17,743.1553955078125,GS
2025-10-20,755.5780639648438,GS
2025-10-21,751.2821044921875,GS
2025-10-22,737.0479125976562,GS
2025-10-23,743.165283203125,GS
2025-10-24,775.9295654296875,GS
2025-10-27,781.9776000976562,GS
2025-10-28,784.0563354492188,GS
2025-10-29,775.1178588867188,GS
2025-10-30,782.1458129882812,GS
2025-10-31,781.3638916015625,GS
2025-11-03,777.5529174804688,GS
2025-11-04,782.80908203125,GS
2025-11-05,785.046142578125,GS
2025-11-06,779.592041015625,GS
2025-11-07,778.3646240234375,GS
2025-11-10,789.1144409179688,GS
2025-11-11,802.0914916992188,GS
2025-11-12,830.4608154296875,GS
2025-11-13,797.3302612304688,GS
2025-11-14,782.8882446289062,GS
2025-11-17,767.6939697265625,GS
2025-11-18,768.4263916015625,GS
2025-11-19,778.0181274414062,GS
2025-11-20,765.852783203125,GS
2025-11-21,766.1795043945312,GS
2025-11-24,782.6903076171875,GS
2025-11-25,794.1824951171875,GS
2025-11-26,807.7337036132812,GS
2025-11-28,817.6619262695312,GS
2025-12-01,802.6359252929688,GS
2025-12-02,810.9422607421875,GS
2025-12-03,832.1904296875,GS
2025-12-04,833.4437866210938,GS
2025-12-05,850.086181640625,GS
2025-12-08,862.1527099609375,GS
2025-12-09,871.990966796875,GS
2025-12-10,884.5846557617188,GS
2025-12-11,906.2606201171875,GS
2025-12-12,883.3114013671875,GS
2025-12-15,884.932861328125,GS
2025-12-16,874.5474853515625,GS
2025-12-17,867.76318359375,GS
2025-12-18,871.71240234375,GS
2025-12-19,888.8024291992188,GS
2025-12-22,894.2935791015625,GS
2025-12-23,896.9893798828125,GS
2025-12-24,906.0119018554688,GS
2025-12-26,902.2914428710938,GS
2025-12-29,887.50927734375,GS
2025-12-30,879.7898559570312,GS
2025-12-31,874.3982543945312,GS
2026-01-02,909.5532836914062,GS
2026-01-05,943.4747314453125,GS
2026-01-06,950.4678955078125,GS
2026-01-07,936.0935668945312,GS
2026-01-08,929.9359741210938,GS
2026-01-09,934.064208984375,GS
2026-01-12,944.5789184570312,GS
2026-01-13,933.2386474609375,GS
2026-01-14,927.7872924804688,GS
2026-01-15,970.7511596679688,GS
2026-01-16,956.9637451171875,GS
2026-01-20,938.4312744140625,GS
2026-01-21,948.0208129882812,GS
2026-01-22,949.6522216796875,GS
2026-01-23,914.0695190429688,GS
2026-01-26,926.9815063476562,GS
2026-01-27,924.8527221679688,GS
2026-01-28,931.9056396484375,GS
2026-01-29,935.1983032226562,GS
2026-01-30,930.512939453125,GS
2026-02-02,941.3757934570312,GS
2026-02-03,934.07421875,GS
2026-02-04,908.5186767578125,GS
2026-02-05,885.7484741210938,GS
2026-02-06,923.8878173828125,GS
2026-02-09,938.679931640625,GS
2026-02-10,944.0218505859375,GS
2026-02-11,939.6448974609375,GS
2026-02-12,899.8145141601562,GS
2026-02-13,900.4014282226562,GS
2026-02-17,911.2443237304688,GS
2026-02-18,928.8417358398438,GS
2026-02-19,911.8511962890625,GS
2026-02-20,917.411865234375,GS
2026-02-23,887.6386108398438,GS
2026-02-24,897.5464477539062,GS
2026-02-25,916.556396484375,GS
2026-02-26,924.136474609375,GS
2026-02-27,855.0700073242188,GS
2026-03-02,861.7000122070312,GS
2026-03-03,862.5800170898438,GS
2026-03-04,867.25,GS
2026-03-05,835.4600219726562,GS
2026-03-06,821.4199829101562,GS
2026-03-09,832.030029296875,GS
2026-03-10,833.8099975585938,GS
2026-03-11,823.760009765625,GS
2026-03-12,787.52001953125,GS
2026-03-13,782.2100219726562,GS
2026-03-16,794.77001953125,GS
2026-03-17,807.0399780273438,GS
2026-03-18,805.47998046875,GS
2026-03-19,809.5,GS
2026-03-20,813.530029296875,GS
2026-03-23,831.27001953125,GS
2026-03-24,835.719970703125,GS
2026-03-25,841.8400268554688,GS
